LGA CODE,LGA Name,Region,Functional Economic Area,Other Classifications,Partnerships Region ,Section of State
20110,Alpine (S),Hume,Central Hume,Rural Victoria,Ovens Murray,Regional Victoria
20260,Ararat (RC),Central Highlands,Ararat,Rural Victoria,Central Highlands,Regional Victoria
20570,Ballarat (C),Central Highlands,Ballarat and Surrounds,Regional Cities,Central Highlands,Regional Victoria
20660,Banyule (C),Melbourne,North Eastern Melbourne,Metropolitan Melbourne (Inner-Middle),n/a,Metropolitan Melbourne
20740,Bass Coast (S),Gippsland,Gippsland South,Melbourne Peri-urban,Gippsland,Regional Victoria
20830,Baw Baw (S),Gippsland,Gippsland Latrobe,Melbourne Peri-urban,Gippsland,Regional Victoria
20910,Bayside (C),Melbourne,Southern Melbourne,Metropolitan Melbourne (Inner-Middle),n/a,Metropolitan Melbourne
21010,Benalla (RC),Hume,Central Hume,Rural Victoria,Ovens Murray,Regional Victoria
21110,Boroondara (C),Melbourne,Inner Eastern Melbourne,Metropolitan Melbourne (Inner-Middle),n/a,Metropolitan Melbourne
21180,Brimbank (C),Melbourne,Outer Western Melbourne,Metropolitan Melbourne (Inner-Middle),n/a,Metropolitan Melbourne
21270,Buloke (S),Loddon Mallee North,Buloke LMN,Rural Victoria,Mallee,Regional Victoria
21370,Campaspe (S),Loddon Mallee North,Campaspe LMN,Rural Victoria,Loddon Campaspe,Regional Victoria
21450,Cardinia (S),Melbourne,South Eastern Melbourne,Metropolitan Melbourne (Growth Areas),n/a,Metropolitan Melbourne
21610,Casey (C),Melbourne,South Eastern Melbourne,Metropolitan Melbourne (Growth Areas),n/a,Metropolitan Melbourne
21670,Central Goldfields (S),Loddon Mallee South,Central Goldfields,Rural Victoria,Loddon Campaspe,Regional Victoria
21750,Colac-Otway (S),G21,Colac Otway,Rural Victoria,Barwon,Regional Victoria
21830,Corangamite (S),Great South Coast,Warrnambool and Surrounds,Rural Victoria,Great South Coast,Regional Victoria
21890,Darebin (C),Melbourne,North Eastern Melbourne,Metropolitan Melbourne (Inner-Middle),n/a,Metropolitan Melbourne
22110,East Gippsland (S),Gippsland,Gippsland East,Rural Victoria,Gippsland,Regional Victoria
22170,Frankston (C),Melbourne,Mornington Peninsula,Metropolitan Melbourne (Inner-Middle),n/a,Metropolitan Melbourne
22250,Gannawarra (S),Loddon Mallee North,Gannawarra LMN,Rural Victoria,Mallee,Regional Victoria
22310,Glen Eira (C),Melbourne,Southern Melbourne,Metropolitan Melbourne (Inner-Middle),n/a,Metropolitan Melbourne
22410,Glenelg (S),Great South Coast,Glenelg,Rural Victoria,Great South Coast,Regional Victoria
22490,Golden Plains (S),G21,Golden Plains,Rural Victoria,Central Highlands,Regional Victoria
22620,Greater Bendigo (C),Loddon Mallee South,Bendigo and Surrounds,Regional Cities,Loddon Campaspe,Regional Victoria
22670,Greater Dandenong (C),Melbourne,South Eastern Melbourne,Metropolitan Melbourne (Inner-Middle),n/a,Metropolitan Melbourne
22750,Greater Geelong (C),G21,Geelong and Surrounds,Regional Cities,Barwon,Regional Victoria
22830,Greater Shepparton (C),Hume,Goulburn Valley,Regional Cities,Goulburn,Regional Victoria
22910,Hepburn (S),Central Highlands,Ballarat and Surrounds,Rural Victoria,Central Highlands,Regional Victoria
22980,Hindmarsh (S),Wimmera Southern Mallee,Hindmarsh WSM,Rural Victoria,Wimmera Southern Mallee,Regional Victoria
23110,Hobsons Bay (C),Melbourne,Outer Western Melbourne,Metropolitan Melbourne (Inner-Middle),n/a,Metropolitan Melbourne
23190,Horsham (RC),Wimmera Southern Mallee,Horsham WSM,Regional Cities,Wimmera Southern Mallee,Regional Victoria
23270,Hume (C),Melbourne,North Western Melbourne,Metropolitan Melbourne (Growth Areas),n/a,Metropolitan Melbourne
23350,Indigo (S),Hume,Upper Hume,Rural Victoria,Ovens Murray,Regional Victoria
23430,Kingston (C),Melbourne,Southern Melbourne,Metropolitan Melbourne (Inner-Middle),n/a,Metropolitan Melbourne
23670,Knox (C),Melbourne,Outer Eastern Melbourne,Metropolitan Melbourne (Inner-Middle),n/a,Metropolitan Melbourne
23810,Latrobe (C),Gippsland,Gippsland Latrobe,Regional Cities,Gippsland,Regional Victoria
23940,Loddon (S),Loddon Mallee South,Bendigo and Surrounds,Rural Victoria,Loddon Campaspe,Regional Victoria
24130,Macedon Ranges (S),Loddon Mallee South,Macedon Ranges,Melbourne Peri-urban,Loddon Campaspe,Regional Victoria
24210,Manningham (C),Melbourne,Inner Eastern Melbourne,Metropolitan Melbourne (Inner-Middle),n/a,Metropolitan Melbourne
24250,Mansfield (S),Hume,Central Hume,Rural Victoria,Ovens Murray,Regional Victoria
24330,Maribyrnong (C),Melbourne,Outer Western Melbourne,Metropolitan Melbourne (Inner-Middle),n/a,Metropolitan Melbourne
24410,Maroondah (C),Melbourne,Outer Eastern Melbourne,Metropolitan Melbourne (Inner-Middle),n/a,Metropolitan Melbourne
24600,Melbourne (C),Melbourne,Inner Melbourne,Metropolitan Melbourne (Inner-Middle),n/a,Metropolitan Melbourne
24650,Melton (S),Melbourne,Outer Western Melbourne,Metropolitan Melbourne (Growth Areas),n/a,Metropolitan Melbourne
24780,Mildura (RC),Loddon Mallee North,Mildura LMN,Regional Cities,Mallee,Regional Victoria
24850,Mitchell (S),Hume,Lower Hume,Melbourne Peri-urban,Goulburn,Regional Victoria
24900,Moira (S),Hume,Goulburn Valley,Rural Victoria,Goulburn,Regional Victoria
24970,Monash (C),Melbourne,Inner Eastern Melbourne,Metropolitan Melbourne (Inner-Middle),n/a,Metropolitan Melbourne
25060,Moonee Valley (C),Melbourne,Outer Western Melbourne,Metropolitan Melbourne (Inner-Middle),n/a,Metropolitan Melbourne
25150,Moorabool (S),Central Highlands,Moorabool,Melbourne Peri-urban,Central Highlands,Regional Victoria
